"order_id","client_id","order_date_ca","items_ordered"
"23711004","3311620","2014-06-01 20:17:24.513258+00","526051"
"23711004","3311620","2014-06-01 20:17:24.513258+00","526003"
"23729982","3311620","2014-06-02 20:00:55.492999+00","16048"
"23729982","3311620","2014-06-02 20:00:55.492999+00","16145"
"23729982","3311620","2014-06-02 20:00:55.492999+00","16040"
"23729982","3311620","2014-06-02 20:00:55.492999+00","16060"
"23729982","3311620","2014-06-02 20:00:55.492999+00","16061"
"23769263","3311620","2014-06-04 21:30:33.616464+00","2122698"
"23769263","3311620","2014-06-04 21:30:33.616464+00","1673903"
"23769263","3311620","2014-06-04 21:30:33.616464+00","1681258"
"23769263","3311620","2014-06-04 21:30:33.616464+00","1673998"
"23769263","3311620","2014-06-04 21:30:33.616464+00","1681262"
"23811447","3311620","2014-06-06 18:55:39.188328+00","1186085"
"23811447","3311620","2014-06-06 18:55:39.188328+00","1186009"
"23811447","3311620","2014-06-06 18:55:39.188328+00","1186097"
"23811447","3311620","2014-06-06 18:55:39.188328+00","1186094"
"23840006","3311620","2014-06-07 21:05:37.793012+00","1051228"
"23840006","3311620","2014-06-07 21:05:37.793012+00","1051270"
"23840006","3311620","2014-06-07 21:05:37.793012+00","1051272"
"23864054","3311620","2014-06-08 19:27:02.622513+00","984449"
"23864054","3311620","2014-06-08 19:27:02.622513+00","984527"
"23864054","3311620","2014-06-08 19:27:02.622513+00","984525"
"23864054","3311620","2014-06-08 19:27:02.622513+00","984535"
"23864054","3311620","2014-06-08 19:27:02.622513+00","986161"
"23971690","3311620","2014-06-13 20:21:01.884025+00","961164"
"23971690","3311620","2014-06-13 20:21:01.884025+00","961200"
"23971690","3311620","2014-06-13 20:21:01.884025+00","961199"
"24021348","3311620","2014-06-15 21:06:38.021155+00","1051231"
"24021348","3311620","2014-06-15 21:06:38.021155+00","1051335"
"24021348","3311620","2014-06-15 21:06:38.021155+00","1052773"
"24058847","3311620","2014-06-17 20:04:23.083772+00","16040"
"24058847","3311620","2014-06-17 20:04:23.083772+00","16060"
"24058847","3311620","2014-06-17 20:04:23.083772+00","16061"
"24058847","3311620","2014-06-17 20:04:23.083772+00","16063"
"24058847","3311620","2014-06-17 20:04:23.083772+00","16048"
"24058847","3311620","2014-06-17 20:04:23.083772+00","16146"
"24079471","3311620","2014-06-18 21:08:12.432461+00","1673903"
"24079471","3311620","2014-06-18 21:08:12.432461+00","2156933"
"24079471","3311620","2014-06-18 21:08:12.432461+00","1681258"
"24079471","3311620","2014-06-18 21:08:12.432461+00","1681262"
"24125776","3311620","2014-06-20 22:09:29.504239+00","1475556"
"24125776","3311620","2014-06-20 22:09:29.504239+00","1475679"
"24125776","3311620","2014-06-20 22:09:29.504239+00","1475738"
"24125776","3311620","2014-06-20 22:09:29.504239+00","1475735"
"24125776","3311620","2014-06-20 22:09:29.504239+00","1475564"
"24176501","3311620","2014-06-22 21:05:07.20192+00","1051228"
"24176501","3311620","2014-06-22 21:05:07.20192+00","1052772"
"24176501","3311620","2014-06-22 21:05:07.20192+00","1052736"
"24306640","3311620","2014-06-28 22:21:28.84047+00","1673903"
"24306640","3311620","2014-06-28 22:21:28.84047+00","2156933"
"24306640","3311620","2014-06-28 22:21:28.84047+00","1681262"
"24331513","3311620","2014-06-29 19:59:43.427035+00","1997349"
"24331513","3311620","2014-06-29 19:59:43.427035+00","1997372"
"24331513","3311620","2014-06-29 19:59:43.427035+00","2416590"
"24331513","3311620","2014-06-29 19:59:43.427035+00","2416593"
"24331513","3311620","2014-06-29 19:59:43.427035+00","1997494"
"24331513","3311620","2014-06-29 19:59:43.427035+00","1997492"
"24353069","3311620","2014-06-30 21:30:58.393568+00","16040"
"24353069","3311620","2014-06-30 21:30:58.393568+00","16060"
"24353069","3311620","2014-06-30 21:30:58.393568+00","16061"
"24353069","3311620","2014-06-30 21:30:58.393568+00","16063"
"24353069","3311620","2014-06-30 21:30:58.393568+00","16048"
"24353069","3311620","2014-06-30 21:30:58.393568+00","16072"
"24353069","3311620","2014-06-30 21:30:58.393568+00","16145"
"24373261","3311620","2014-07-01 21:35:37.323139+00","57961"
"24373261","3311620","2014-07-01 21:35:37.323139+00","57964"
"24373261","3311620","2014-07-01 21:35:37.323139+00","57972"
"24373261","3311620","2014-07-01 21:35:37.323139+00","57986"
"24454597","3311620","2014-07-05 20:02:50.276172+00","526003"
"24454597","3311620","2014-07-05 20:02:50.276172+00","526051"
"24480909","3311620","2014-07-06 21:27:30.965715+00","1051228"
"24480909","3311620","2014-07-06 21:27:30.965715+00","1052773"
"24480909","3311620","2014-07-06 21:27:30.965715+00","1051272"
"24497886","3311620","2014-07-07 19:09:17.413065+00","1934638"
"24497886","3311620","2014-07-07 19:09:17.413065+00","1934643"
"24497886","3311620","2014-07-07 19:09:17.413065+00","1934670"
"24497886","3311620","2014-07-07 19:09:17.413065+00","1934765"
"24519372","3311620","2014-07-08 21:14:23.298807+00","16040"
"24519372","3311620","2014-07-08 21:14:23.298807+00","16060"
"24519372","3311620","2014-07-08 21:14:23.298807+00","16061"
"24519372","3311620","2014-07-08 21:14:23.298807+00","16063"
"24519372","3311620","2014-07-08 21:14:23.298807+00","16048"
"24519372","3311620","2014-07-08 21:14:23.298807+00","16072"
"24519372","3311620","2014-07-08 21:14:23.298807+00","16145"
"24559144","3311620","2014-07-10 21:45:05.26009+00","1673882"
"24559144","3311620","2014-07-10 21:45:05.26009+00","1673903"
"24559144","3311620","2014-07-10 21:45:05.26009+00","2156933"
"24559144","3311620","2014-07-10 21:45:05.26009+00","1681262"
"24608429","3311620","2014-07-12 20:20:54.764975+00","1997532"
"24608429","3311620","2014-07-12 20:20:54.764975+00","1997349"
"24608429","3311620","2014-07-12 20:20:54.764975+00","2416593"
"24608429","3311620","2014-07-12 20:20:54.764975+00","1997492"
"24608429","3311620","2014-07-12 20:20:54.764975+00","1997494"
"24608429","3311620","2014-07-12 20:20:54.764975+00","1997479"
"24636365","3311620","2014-07-13 21:11:22.777453+00","1051228"
"24636365","3311620","2014-07-13 21:11:22.777453+00","1051270"
"24636365","3311620","2014-07-13 21:11:22.777453+00","1051335"
"24676134","3311620","2014-07-15 21:03:58.331835+00","57961"
"24676134","3311620","2014-07-15 21:03:58.331835+00","57964"
"24676134","3311620","2014-07-15 21:03:58.331835+00","57977"
"24676134","3311620","2014-07-15 21:03:58.331835+00","57986"
"24696311","3311620","2014-07-16 22:22:06.761006+00","1475550"
"24696311","3311620","2014-07-16 22:22:06.761006+00","1475679"
"24696311","3311620","2014-07-16 22:22:06.761006+00","1475696"
"24696311","3311620","2014-07-16 22:22:06.761006+00","1475735"
"24696311","3311620","2014-07-16 22:22:06.761006+00","1475738"
"24696311","3311620","2014-07-16 22:22:06.761006+00","1475741"
"24742084","3311620","2014-07-18 20:33:20.946006+00","961164"
"24742084","3311620","2014-07-18 20:33:20.946006+00","961199"
"24742084","3311620","2014-07-18 20:33:20.946006+00","961200"
"24742084","3311620","2014-07-18 20:33:20.946006+00","1203114"
"24768509","3311620","2014-07-19 21:48:24.085719+00","16060"
"24768509","3311620","2014-07-19 21:48:24.085719+00","16061"
"24768509","3311620","2014-07-19 21:48:24.085719+00","16063"
"24768509","3311620","2014-07-19 21:48:24.085719+00","16048"
"24768509","3311620","2014-07-19 21:48:24.085719+00","16072"
"24768509","3311620","2014-07-19 21:48:24.085719+00","572184"
"24900749","3311620","2014-07-25 21:39:19.229181+00","3161470"
"24900749","3311620","2014-07-25 21:39:19.229181+00","3161619"
"24900749","3311620","2014-07-25 21:39:19.229181+00","3161721"
"24900749","3311620","2014-07-25 21:39:19.229181+00","3161729"
"24900749","3311620","2014-07-25 21:39:19.229181+00","3161776"
"24925574","3311620","2014-07-26 21:27:24.740456+00","526003"
"24925574","3311620","2014-07-26 21:27:24.740456+00","526051"
"24925574","3311620","2014-07-26 21:27:24.740456+00","526079"
"24980953","3311620","2014-07-29 21:05:17.419842+00","16060"
"24980953","3311620","2014-07-29 21:05:17.419842+00","16061"
"24980953","3311620","2014-07-29 21:05:17.419842+00","16063"
"24980953","3311620","2014-07-29 21:05:17.419842+00","16048"
"24980953","3311620","2014-07-29 21:05:17.419842+00","16072"
"24980953","3311620","2014-07-29 21:05:17.419842+00","16187"
"25049682","3311620","2014-08-01 21:16:38.729942+00","2925356"
"25049682","3311620","2014-08-01 21:16:38.729942+00","2926919"
"25076120","3311620","2014-08-02 21:45:11.725879+00","1673902"
"25076120","3311620","2014-08-02 21:45:11.725879+00","1673907"
"25076120","3311620","2014-08-02 21:45:11.725879+00","1681258"
"25076120","3311620","2014-08-02 21:45:11.725879+00","1681262"
"25101895","3311620","2014-08-03 19:55:14.482165+00","961199"
"25101895","3311620","2014-08-03 19:55:14.482165+00","1752055"
"25101895","3311620","2014-08-03 19:55:14.482165+00","961164"
"25140456","3311620","2014-08-05 19:07:06.933924+00","2984311"
"25140456","3311620","2014-08-05 19:07:06.933924+00","2984355"
"25140456","3311620","2014-08-05 19:07:06.933924+00","2984130"
"25161871","3311620","2014-08-06 19:58:28.116017+00","24409"
"25161871","3311620","2014-08-06 19:58:28.116017+00","24443"
"25161871","3311620","2014-08-06 19:58:28.116017+00","24446"
"25161871","3311620","2014-08-06 19:58:28.116017+00","24486"
"25161871","3311620","2014-08-06 19:58:28.116017+00","24492"
"25209423","3311620","2014-08-08 20:01:51.693887+00","1997349"
"25209423","3311620","2014-08-08 20:01:51.693887+00","1997372"
"25209423","3311620","2014-08-08 20:01:51.693887+00","1997406"
"25209423","3311620","2014-08-08 20:01:51.693887+00","2416593"
"25209423","3311620","2014-08-08 20:01:51.693887+00","1997492"
"25209423","3311620","2014-08-08 20:01:51.693887+00","1997494"
"25262264","3311620","2014-08-10 20:50:37.342912+00","1051228"
"25262264","3311620","2014-08-10 20:50:37.342912+00","1051335"
"25262264","3311620","2014-08-10 20:50:37.342912+00","1052731"
"25262264","3311620","2014-08-10 20:50:37.342912+00","1052773"
"25283401","3311620","2014-08-11 21:15:44.221443+00","16060"
"25283401","3311620","2014-08-11 21:15:44.221443+00","16061"
"25283401","3311620","2014-08-11 21:15:44.221443+00","16063"
"25283401","3311620","2014-08-11 21:15:44.221443+00","16048"
"25283401","3311620","2014-08-11 21:15:44.221443+00","16072"
"25371599","3311620","2014-08-15 20:32:25.775312+00","2462564"
"25371599","3311620","2014-08-15 20:32:25.775312+00","913233"
"25371599","3311620","2014-08-15 20:32:25.775312+00","2811944"
"25371599","3311620","2014-08-15 20:32:25.775312+00","2217966"
"25426369","3311620","2014-08-17 22:08:51.743402+00","1673882"
"25426369","3311620","2014-08-17 22:08:51.743402+00","1673903"
"25426369","3311620","2014-08-17 22:08:51.743402+00","2156933"
"25426369","3311620","2014-08-17 22:08:51.743402+00","1673999"
"25487439","3311620","2014-08-20 20:46:06.589268+00","526003"
"25487439","3311620","2014-08-20 20:46:06.589268+00","526051"
"25487439","3311620","2014-08-20 20:46:06.589268+00","526079"
"25507841","3311620","2014-08-21 19:31:46.857382+00","1934643"
"25507841","3311620","2014-08-21 19:31:46.857382+00","1934638"
"25507841","3311620","2014-08-21 19:31:46.857382+00","1934670"
"25507841","3311620","2014-08-21 19:31:46.857382+00","1934765"
"25564135","3311620","2014-08-23 20:22:47.88923+00","961200"
"25564135","3311620","2014-08-23 20:22:47.88923+00","961219"
"25564135","3311620","2014-08-23 20:22:47.88923+00","1203114"
"25614384","3311620","2014-08-25 21:17:05.879789+00","16060"
"25614384","3311620","2014-08-25 21:17:05.879789+00","16061"
"25614384","3311620","2014-08-25 21:17:05.879789+00","16063"
"25614384","3311620","2014-08-25 21:17:05.879789+00","16048"
"25614384","3311620","2014-08-25 21:17:05.879789+00","16072"
"25614384","3311620","2014-08-25 21:17:05.879789+00","1062221"
"25655906","3311620","2014-08-27 21:09:28.690835+00","57961"
"25655906","3311620","2014-08-27 21:09:28.690835+00","57964"
"25655906","3311620","2014-08-27 21:09:28.690835+00","57986"
"25655906","3311620","2014-08-27 21:09:28.690835+00","57977"
"25678876","3311620","2014-08-28 22:11:58.824737+00","1673902"
"25678876","3311620","2014-08-28 22:11:58.824737+00","1673903"
"25678876","3311620","2014-08-28 22:11:58.824737+00","1673998"
"25678876","3311620","2014-08-28 22:11:58.824737+00","1673882"
"25678876","3311620","2014-08-28 22:11:58.824737+00","1681262"
"25707843","3311620","2014-08-29 23:06:07.704228+00","1112132"
"25707843","3311620","2014-08-29 23:06:07.704228+00","1112190"
"25707843","3311620","2014-08-29 23:06:07.704228+00","1112153"
"25707843","3311620","2014-08-29 23:06:07.704228+00","1112158"
"25759088","3311620","2014-08-31 20:31:25.937638+00","961200"
"25759088","3311620","2014-08-31 20:31:25.937638+00","1752055"
"25759088","3311620","2014-08-31 20:31:25.937638+00","961155"
"25786406","3311620","2014-09-01 21:19:55.324033+00","1552710"
"25786406","3311620","2014-09-01 21:19:55.324033+00","1586280"
"25786406","3311620","2014-09-01 21:19:55.324033+00","1552767"
"25786406","3311620","2014-09-01 21:19:55.324033+00","1552777"
"25786406","3311620","2014-09-01 21:19:55.324033+00","1552764"
"25786406","3311620","2014-09-01 21:19:55.324033+00","1552763"
"25806727","3311620","2014-09-02 19:47:28.056943+00","2925356"
"25806727","3311620","2014-09-02 19:47:28.056943+00","2926919"
"25882139","3311620","2014-09-05 21:02:32.129011+00","1051228"
"25882139","3311620","2014-09-05 21:02:32.129011+00","1052773"
"25882139","3311620","2014-09-05 21:02:32.129011+00","1051272"
"25882139","3311620","2014-09-05 21:02:32.129011+00","1051335"
"25944081","3311620","2014-09-07 21:22:14.730604+00","16060"
"25944081","3311620","2014-09-07 21:22:14.730604+00","16061"
"25944081","3311620","2014-09-07 21:22:14.730604+00","16063"
"25944081","3311620","2014-09-07 21:22:14.730604+00","16048"
"25944081","3311620","2014-09-07 21:22:14.730604+00","16072"
"25944081","3311620","2014-09-07 21:22:14.730604+00","16145"
"25986219","3311620","2014-09-09 22:01:25.499646+00","1673902"
"25986219","3311620","2014-09-09 22:01:25.499646+00","1673882"
"25986219","3311620","2014-09-09 22:01:25.499646+00","1681262"
"25986219","3311620","2014-09-09 22:01:25.499646+00","2156933"
"26027657","3311620","2014-09-11 18:45:43.627684+00","1934638"
"26027657","3311620","2014-09-11 18:45:43.627684+00","1934643"
"26027657","3311620","2014-09-11 18:45:43.627684+00","1934765"
"26061222","3311620","2014-09-12 21:03:22.376044+00","526003"
"26061222","3311620","2014-09-12 21:03:22.376044+00","526051"
"26061222","3311620","2014-09-12 21:03:22.376044+00","526031"
"26092299","3311620","2014-09-13 20:39:47.455203+00","3463178"
"26092299","3311620","2014-09-13 20:39:47.455203+00","3463250"
"26092299","3311620","2014-09-13 20:39:47.455203+00","3463198"
"26092299","3311620","2014-09-13 20:39:47.455203+00","3463155"
"26092299","3311620","2014-09-13 20:39:47.455203+00","3463145"
"26146035","3311620","2014-09-15 20:20:08.804315+00","961199"
"26146035","3311620","2014-09-15 20:20:08.804315+00","961200"
"26146035","3311620","2014-09-15 20:20:08.804315+00","1203114"
"26191056","3311620","2014-09-17 21:46:03.940609+00","1475556"
"26191056","3311620","2014-09-17 21:46:03.940609+00","1475564"
"26191056","3311620","2014-09-17 21:46:03.940609+00","1475679"
"26191056","3311620","2014-09-17 21:46:03.940609+00","1475735"
"26191056","3311620","2014-09-17 21:46:03.940609+00","1475738"
"26191056","3311620","2014-09-17 21:46:03.940609+00","1475741"
"26243366","3311620","2014-09-19 20:05:56.534976+00","2462562"
"26243366","3311620","2014-09-19 20:05:56.534976+00","2462564"
"26243366","3311620","2014-09-19 20:05:56.534976+00","913233"
"26243366","3311620","2014-09-19 20:05:56.534976+00","2811955"
"26243366","3311620","2014-09-19 20:05:56.534976+00","2217966"
"26275086","3311620","2014-09-20 21:29:27.024792+00","1051230"
"26275086","3311620","2014-09-20 21:29:27.024792+00","1052773"
"26275086","3311620","2014-09-20 21:29:27.024792+00","1052736"
"26307514","3311620","2014-09-21 19:31:19.709323+00","2925356"
"26307514","3311620","2014-09-21 19:31:19.709323+00","2926919"
"26351786","3311620","2014-09-23 19:33:38.442844+00","24409"
"26351786","3311620","2014-09-23 19:33:38.442844+00","24443"
"26351786","3311620","2014-09-23 19:33:38.442844+00","24492"
"26351786","3311620","2014-09-23 19:33:38.442844+00","24489"
"26375933","3311620","2014-09-24 20:50:19.791364+00","1673902"
"26375933","3311620","2014-09-24 20:50:19.791364+00","1673882"
"26375933","3311620","2014-09-24 20:50:19.791364+00","1681262"
"26375933","3311620","2014-09-24 20:50:19.791364+00","2156933"
"26493299","3311620","2014-09-28 20:23:54.151918+00","961200"
"26493299","3311620","2014-09-28 20:23:54.151918+00","1752055"
"26493299","3311620","2014-09-28 20:23:54.151918+00","961247"
"26702617","3311620","2014-10-06 19:59:53.132251+00","57961"
"26702617","3311620","2014-10-06 19:59:53.132251+00","57977"
"26702617","3311620","2014-10-06 19:59:53.132251+00","57986"
"26867922","3311620","2014-10-12 19:25:19.02467+00","2462564"
"26867922","3311620","2014-10-12 19:25:19.02467+00","2462589"
"26867922","3311620","2014-10-12 19:25:19.02467+00","913233"
"26867922","3311620","2014-10-12 19:25:19.02467+00","2462562"
"27110803","3311620","2014-10-21 19:01:58.084652+00","24409"
"27110803","3311620","2014-10-21 19:01:58.084652+00","24443"
"27110803","3311620","2014-10-21 19:01:58.084652+00","24446"
"27110803","3311620","2014-10-21 19:01:58.084652+00","24486"
